ID,Date,Time,User Question,Bot Answer,Response Time (s)
37,2025-12-01,16:46:27,اهلا,مرحبًا! كيف يمكنني مساعدتك اليوم في المعهد السعودي المتخصص العالي للتدريب؟,1.73
36,2025-12-01,16:43:26,ادارة التمريض,للحصول على تفاصيل دقيقة حول رسوم دبلوم إدارة التمريض، يمكنك زيارة صفحة البرامج على موقع المعهد. إذا كنت بحاجة إلى معلومات إضافية أو مساعدة في التسجيل، فلا تتردد في طرح المزيد من الأسئلة!,1.32
35,2025-12-01,16:43:17,كم الرسوم,تعتمد رسوم البرامج على نوع البرنامج ومدته. يمكنك زيارة صفحة البرامج على موقع المعهد للحصول على تفاصيل دقيقة حول الرسوم لكل برنامج. إذا كنت بحاجة إلى مساعدة إضافية، فلا تتردد في طرح المزيد من الأسئلة!,1.32
34,2025-12-01,16:17:04,ماهي التخصصات دبلوم عن بعد,التخصص المتاح للدراسة عن بعد هو دبلوم إدارة الموارد البشرية. إذا كنت مهتمًا بالتسجيل أو تحتاج إلى مزيد من المعلومات، يمكنك زيارة موقع المعهد للحصول على التفاصيل اللازمة.,2.44
33,2025-12-01,16:16:39,دبلوم عن بعد,الدبلوم عن بعد متاح في عدة تخصصات، ويتيح للطلاب الدراسة من أي مكان. إذا كنت مهتمًا بالتسجيل، يمكنك زيارة موقع المعهد للحصول على تفاصيل أكثر حول البرامج المتاحة وشروط القبول.,0.74
32,2025-12-01,16:00:35,كم عدد خريجين المعهد ؟,عدد خريجي المعهد السعودي المتخصص العالي للتدريب يتجاوز الآلاف، حيث يساهم المعهد في تأهيل وتدريب العديد من المتدربين سنويًا. إذا كنت بحاجة إلى معلومات أكثر دقة حول عدد الخريجين أو تفاصيل أخرى، يمكنك زيارة الموقع الرسمي للمعهد أو التواصل مع قسم الاستفسارات.,2.15
31,2025-12-01,16:00:12,هل المعهد معتمد؟,نعم، المعهد السعودي المتخصص العالي للتدريب معتمد من المؤسسة العامة للتدريب التقني والمهني منذ عام ١٤٣٣ هـ.,0.94
30,2025-12-01,15:50:47,هل انت غبي ؟,أنا هنا لمساعدتك، وإذا كان لديك أي استفسار أو موضوع تود مناقشته، فلا تتردد في طرحه. كيف يمكنني مساعدتك اليوم؟,1.29
29,2025-12-01,15:50:37,لا قولي ي حبيبي,أنا هنا لمساعدتك! إذا كان لديك أي استفسار حول المعهد السعودي المتخصص العالي للتدريب أو البرامج المتاحة، فلا تتردد في طرحه.,2.02
28,2025-12-01,15:50:28,حبيبييييييييييييييييييييي,مرحبًا! كيف يمكنني مساعدتك اليوم؟ إذا كان لديك أي استفسار حول المعهد أو البرامج التدريبية، فلا تتردد في طرحه.,1.15
27,2025-12-01,15:28:58,دبلوم أداره التمريض حضوري ولا عن بعد وبكم,دبلوم إدارة التمريض هو دبلوم حضوري. بالنسبة للتكاليف، يمكنك زيارة موقع المعهد للحصول على تفاصيل دقيقة حول الرسوم الدراسية.,1.17
26,2025-12-01,14:22:52,ايش هي مقررات دبلوم إدارة السلامة,"المقررات التي يتضمنها دبلوم إدارة السلامة تشمل:

- مقدمة في أنظمة ولوائح الأمن والسلامة
- إدارة السلامة الصناعية
- سلامة بيئة العمل
- مكافحة الحرائق
- الإخلاء والإسعافات الأولية
- إدارة السلامة ومنع الخسائر
- تحليل المخاطر
- كتابة تقارير السلامة
- السلامة العامة
- تشريعات السلامة والصحة المهنية في المملكة
- متطلبات السلامة في المنشآت
- إدارة الأزمات والمخاطر
- السلامة والصحة المهنية
- إعداد تقارير السلامة باللغة الإنجليزية
- الإدارة الاستراتيجية للأزمات والمخاطر
- التعامل مع وسائل الإعلام

إذا كان لديك أي استفسار آخر أو تحتاج لمزيد من المعلومات، فلا تتردد في طرح سؤالك!",0.98
25,2025-12-01,14:20:28,هل شهادة المعهد معتمدة,نعم، شهادة المعهد السعودي المتخصص العالي للتدريب معتمدة من المؤسسة العامة للتدريب التقني والمهني ومرخصة رسميًا من وزارة التعليم السعودية. إذا كنت بحاجة إلى مزيد من التفاصيل أو لديك استفسارات أخرى، فلا تتردد في طرحها!,2.16
24,2025-12-01,14:20:16,ما عدد ساعاته,عدد الساعات المعتمدة لدبلوم الأمن السيبراني هو ٧٦ ساعة. إذا كنت بحاجة إلى مزيد من المعلومات أو لديك استفسارات أخرى، فلا تتردد في طرحها!,1.26
23,2025-12-01,14:20:05,ماهي مقررات الأمن اسايبراني,"المقررات التي يتضمنها دبلوم الأمن السيبراني تشمل:

- أساسيات علم التشفير
- البرمجة بلغة البايثون
- أساسيات الأمن السيبراني
- الذكاء الاصطناعي
- الجرائم الإلكترونية
- الحوسبة السحابية
- إدارة أمن المعلومات
- الاختراق الأخلاقي
- مقدمة في أمن الشبكات
- موضوعات مختارة في الأمن السيبراني

إذا كان لديك أي استفسار آخر أو تحتاج لمزيد من المعلومات، فلا تتردد في طرح سؤالك!",1.29
22,2025-12-01,14:19:43,من انت,أنا مساعد ذكي هنا لمساعدتك في الحصول على المعلومات المتعلقة بالمعهد السعودي المتخصص العالي للتدريب. إذا كان لديك أي استفسار أو تحتاج إلى مساعدة، فلا تتردد في طرح سؤالك!,2.12
21,2025-12-01,14:19:28,كيف اسجل,يمكنك التسجيل من خلال تعبئة طلب الالتحاق الإلكتروني المتاح على موقع المعهد. قم بإنشاء حساب عبر بوابة التسجيل، ثم املأ نموذج طلب الالتحاق بالبرنامج المطلوب وأرفق المستندات اللازمة مثل شهادة الثانوية وبطاقة الهوية. بعد ذلك، أرسل الطلب إلكترونيًا وانتظر إشعار القبول لاستكمال الإجراءات.,1.09
20,2025-12-01,14:19:18,وين فروع المعهد,لدينا ۱۷ فرعاً في عدة مدن، منها الرياض، الدمام، المدينة المنورة، خميس مشيط، حفر الباطن، وسكاكا. إذا كنت بحاجة لمزيد من التفاصيل حول فروع معينة، يمكنك إخباري.,0.63
19,2025-12-01,14:19:00,عايز اسجل في المعهد,يمكنك التسجيل في المعهد السعودي المتخصص العالي للتدريب من خلال زيارة الموقع الإلكتروني الخاص بالمعهد على الرابط التالي: [www.sstli.com](http://www.sstli.com). هناك ستجد جميع المعلومات اللازمة حول البرامج المتاحة وإجراءات التسجيل. إذا كان لديك أي استفسارات إضافية، فلا تتردد في طرحها!,1.93
18,2025-12-01,14:18:49,ماهي فروع المعهد السعودي,لدينا 17 فرعاً للمعهد السعودي المتخصص العالي للتدريب في عدة مدن، منها الرياض، الدمام، المدينة المنورة، خميس مشيط، حفر الباطن، وسكاكا. إذا كنت بحاجة لمعلومات أكثر تفصيلاً عن فروع معينة أو كيفية التسجيل، فلا تتردد في السؤال!,0.84
17,2025-12-01,13:54:35,دبلوم,يمكنك الاطلاع على الدبلومات المتاحة في المعهد، والتي تشمل برامج دورات تأهيلية. إذا كنت مهتمًا بالتسجيل في أحد هذه الدبلومات، يمكنك زيارة صفحة التسجيل على موقع المعهد للحصول على المزيد من التفاصيل والإجراءات اللازمة.,2.45
16,2025-12-01,13:54:24,dw,كيف يمكنني مساعدتك اليوم؟ إذا كان لديك أي استفسار حول البرامج التدريبية أو كيفية التسجيل، فلا تتردد في طرحه.,1.08
15,2025-12-01,13:52:14,دبلوم إدارة التمريض هل متاح للعسكرين,دبلوم إدارة التمريض متاح للعسكريين، ولكن يجب عليهم التحقق من الشروط المحددة التي قد تنطبق عليهم. يُفضل التواصل مع قسم التسجيل في المعهد للحصول على تفاصيل دقيقة حول المتطلبات والإجراءات اللازمة. هل تحتاج إلى مساعدة إضافية؟,1.83
14,2025-12-01,13:51:15,شكرا,إذا كان لديك أي استفسارات أخرى أو تحتاج إلى مزيد من المعلومات حول دبلوم القانون أو أي برامج أخرى، فلا تتردد في طرحها. أنا هنا للمساعدة!,1.43
13,2025-12-01,13:50:42,المدة الرداسية وعدد الساعات والسعر,مدة الدراسة لدبلوم القانون هي عادةً سنتين، وعدد الساعات المعتمدة هو ٨٤ ساعة. بالنسبة للسعر، يمكنك زيارة موقع المعهد أو التواصل مع قسم التسجيل للحصول على تفاصيل دقيقة حول الرسوم. هل تحتاج إلى مساعدة إضافية؟,1.84
12,2025-12-01,13:50:24,معالي الباشا محتاج استفسر عن دبلوم القانون,ما هي استفساراتك حول دبلوم القانون؟ يمكنك طرح أي سؤال يتعلق بالمقررات، طريقة الدراسة، أو أي تفاصيل أخرى تود معرفتها.,1.02
11,2025-12-01,12:54:56,ايه الدنيا,مرحبًا! كيف يمكنني مساعدتك اليوم؟ هل لديك استفسار حول البرامج التدريبية أو كيفية التسجيل في المعهد؟,0.77
10,2025-12-01,12:46:15,ماهي دبلومات المعهد السعودي,"يقدم المعهد السعودي المتخصص العالي للتدريب مجموعة متنوعة من الدبلومات في مجالات متعددة، تشمل عادةً:

1. دبلومات في التقنية المعلوماتية.
2. دبلومات في إدارة الأعمال.
3. دبلومات في الهندسة.
4. دبلومات في التصميم الجرافيكي.
5. دبلومات في الأمن السيبراني.

يمكنك زيارة الموقع الرسمي للمعهد للحصول على تفاصيل أكثر حول الدبلومات المتاحة، بما في ذلك المقررات الدراسية ومتطلبات التسجيل.",0.68
9,2025-12-01,12:30:49,نعم,"يمكنك التواصل مع المعهد السعودي المتخصص العالي للتدريب عبر الوسائل التالية: 

- رقم الهاتف الموحد: 920012673
- الموقع الإلكتروني: [www.sstli.com](http://www.sstli.com)
- إنستجرام: saudi_specialized_institute
- سناب شات وتيك توك: sstli1443

إذا كان لديك أي استفسارات أخرى أو تحتاج إلى مزيد من المعلومات، فلا تتردد في طرحها!",1.91
8,2025-12-01,12:30:15,اؤقام ااتواصل,يمكنك التواصل مع المعهد السعودي المتخصص العالي للتدريب عبر الهاتف أو البريد الإلكتروني. إذا كنت بحاجة إلى معلومات محددة حول أرقام الهواتف أو البريد الإلكتروني، يرجى زيارة صفحة الاتصال على موقع المعهد. هل تحتاج إلى مساعدة إضافية؟,2.64
7,2025-12-01,12:29:48,دبلوم الامن السيبراني,دبلوم الأمن السيبراني يتكون من ٨ مستويات دراسية ويشمل دراسة حوالي ٢٦ مقررًا تغطي مختلف جوانب أمن المعلومات وحماية الشبكات. إذا كنت مهتمًا بالتسجيل أو تحتاج إلى مزيد من المعلومات، يمكنني مساعدتك في ذلك.,2.21
6,2025-12-01,12:29:35,ما هي بدلومات المعهد,الدبلومات المعتمدة في المعهد تشمل: دبلوم إدارة المستشفيات والخدمات الصحية، دبلوم إدارة التمريض، دبلوم القانون، دبلوم الأمن السيبراني، دبلوم إدارة الأعمال، دبلوم إدارة السلامة، دبلوم الإدارة المكتبية، دبلوم إدارة الموارد البشرية، دبلوم المحاسبة، ودبلوم مشارك الإدارة المكتبية (12 شهر). إذا كنت مهتمًا بالتسجيل في أحد هذه الدبلومات، يمكنني مساعدتك في معرفة خطوات التقديم.,1.24
5,2025-12-01,12:29:34,اهلا بك,أهلاً وسهلاً! كيف يمكنني مساعدتك اليوم؟,0.58
4,2025-12-01,12:28:36,السلام عليكم,وعليكم السلام! كيف يمكنني مساعدتك اليوم؟,0.85
3,2025-12-01,12:27:11,اهلا,أهلاً وسهلاً! كيف يمكنني مساعدتك اليوم؟,1.65
2,2025-12-01,12:10:09,ما هي تخصصات المعهد السعودي,"المعهد السعودي المتخصص العالي للتدريب يقدم مجموعة متنوعة من التخصصات في مجالات التقنية والمهنية. تشمل التخصصات الرئيسية مثل:

1. تقنية المعلومات.
2. الشبكات.
3. البرمجة.
4. إدارة الأعمال.
5. التصميم الجرافيكي.
6. الكهرباء والالكترونيات.

إذا كنت مهتمًا بتخصص معين أو تحتاج إلى مزيد من التفاصيل، يمكنك زيارة الموقع الإلكتروني للمعهد أو التواصل معنا عبر الهاتف.",2.01
1,2025-12-01,12:09:56,اهلا بك,أهلاً وسهلاً! كيف يمكنني مساعدتك اليوم؟,3.35
